,device,time_start,time_stop,date,status,type
0,69823,,,2020-06-12 10:05:04.005390,Processing,build_model
1,69823,,,2020-06-12 11:02:05.913881,Processing,build_model
2,69823,,,2020-06-12 11:04:58.250327,Processing,build_model
3,69823,,,2020-06-12 12:15:38.657312,Processing,build_model
4,69823,,,2020-06-12 12:16:50.560649,Processing,build_model
5,69823,,,2020-06-12 13:01:08.510042,Processing,build_model
6,69823,,,2020-06-15 07:21:12.493367,Processing,build_model
7,69823,,,2020-06-15 10:51:00.942777,Processing,build_model
8,69823,,,2020-06-15 10:58:15.331677,Processing,build_model
9,69823,2020-06-14T07:26:43.990Z,2020-06-14T13:00:03.990Z,2020-06-15 11:00:16.104210,Processing,analysis
10,69823,,,2020-06-15 11:41:50.664902,Processing,build_model
11,69823,2020-06-14T08:14:00.270Z,2020-06-14T13:47:20.270Z,2020-06-15 11:47:32.353848,Processing,analysis
12,69823,,,2020-06-15 13:04:43.025617,Processing,build_model
13,69823,,,2020-06-15 14:29:29.772281,Processing,build_model
14,69823,,,2020-06-16 06:04:09.027929,Processing,build_model
15,69823,,,2020-06-16 07:44:43.468845,Processing,build_model
16,69823,,,2020-06-16 08:40:59.597158,Processing,build_model
17,69823,,,2020-06-16 08:43:00.425034,Processing,build_model
18,69823,,,2020-06-16 08:45:16.117616,Processing,build_model
19,69823,,,2020-06-17 08:06:19.973291,Processing,build_model
20,69823,,,2020-06-17 08:45:48.560938,Processing,build_model
21,69823,,,2020-06-18 13:06:13.937990,Processing,build_model
22,69823,,,2020-06-22 08:07:12.841442,Processing,build_model
23,69823,,,2020-06-22 08:30:49.927067,Processing,build_model
24,69823,,,2020-06-22 12:49:40.165559,Processing,build_model
25,69823,2020-06-28T04:36:37.345Z,2020-06-28T10:09:57.345Z,2020-06-29 08:10:12.989309,Processing,analysis
26,69823,2020-06-28T05:28:26.373Z,2020-06-28T11:01:46.373Z,2020-06-29 09:02:01.859868,Processing,analysis
27,69823,,,2020-06-29 10:31:37.724990,Processing,build_model
28,69823,,,2020-06-29 10:32:27.757990,Processing,build_model
29,69823,,,2020-06-29 10:34:38.011207,Processing,build_model
30,69823,2020-06-28T07:18:14.282Z,2020-06-28T12:51:34.282Z,2020-06-29 10:51:49.764108,Processing,analysis
31,69823,,,2020-06-29 10:54:30.266899,Processing,build_model
32,69823,,,2020-07-01 05:41:03.412483,Processing,build_model
33,69823,,,2020-07-01 05:41:43.628773,Processing,build_model
34,69823,,,2020-07-01 07:36:15.195171,Processing,build_model
35,69823,,,2020-07-01 10:09:30.934899,Processing,build_model
36,69823,,,2020-07-02 05:41:33.871970,Processing,build_model
37,69823,,,2020-07-02 07:37:23.007870,Completed,build_model
38,69823,2020-07-01T05:58:11.956Z,2020-07-01T11:31:31.956Z,2020-07-02 09:31:47.622993,Processing,analysis
39,69823,2020-07-01T06:40:55.897Z,2020-07-01T12:14:15.897Z,2020-07-02 10:14:31.601265,Processing,analysis
40,69823,2020-07-02T07:07:24.755Z,2020-07-02T12:40:44.755Z,2020-07-03 10:41:00.575154,Processing,analysis
41,69823,2020-07-02T07:11:19.435Z,2020-07-02T12:44:39.435Z,2020-07-03 10:44:55.237949,Processing,analysis
42,69823,2020-04-25T08:45:00.000Z,2020-04-25T09:00:00.000Z,2020-07-03 10:51:48.249093,Processing,analysis
43,69823,,,2020-07-07 06:25:16.401224,Completed,build_model
44,69823,2020-07-06T13:45:00.000Z,2020-07-06T20:00:00.000Z,2020-07-07 11:10:38.324233,Processing,analysis
45,69823,2020-07-07T00:45:00.000Z,2020-07-07T03:00:00.000Z,2020-07-07 12:47:00.249068,Processing,analysis
46,69823,2020-07-07T00:45:00.000Z,2020-07-07T02:00:00.000Z,2020-07-07 13:42:49.117781,Processing,analysis
47,69823,2020-07-07T00:45:00.000Z,2020-07-07T02:00:00.000Z,2020-07-07 15:34:15.646063,Processing,analysis
48,69823,2020-07-07T00:45:00.000Z,2020-07-07T02:00:00.000Z,2020-07-08 06:09:09.145059,Processing,analysis
49,69823,2020-07-07T00:45:00.000Z,2020-07-07T02:00:00.000Z,2020-07-08 07:41:21.595277,Processing,analysis
50,69823,2020-07-07T00:45:00.000Z,2020-07-07T02:00:00.000Z,2020-07-08 08:43:14.950499,Processing,analysis
51,69823,2020-07-07T00:45:00.000Z,2020-07-07T02:00:00.000Z,2020-07-08 11:58:58.080119,Processing,analysis
52,69823,2020-07-07T00:45:00.000Z,2020-07-07T02:00:00.000Z,2020-07-08 13:59:03.294953,Processing,analysis
53,69823,2020-07-07T00:45:00.000Z,2020-07-07T01:10:00.000Z,2020-07-09 06:59:35.482694,Processing,analysis
54,69823,2020-07-07T00:45:00.000Z,2020-07-07T01:10:00.000Z,2020-07-09 08:32:25.093056,Completed,analysis
55,69823,2020-07-08T11:16:22.303Z,2020-07-08T11:33:02.303Z,2020-07-09 09:33:18.449257,Processing,analysis
56,69823,2020-07-08T03:14:22.757Z,2020-07-08T11:34:22.757Z,2020-07-09 09:34:38.901137,Processing,analysis
57,69823,2020-07-06T14:00Z,2020-07-06T14:30Z,2020-07-09 14:36:29.976103,Completed,analysis
58,69823,2020-07-06T14:00Z,2020-07-06T14:30Z,2020-07-09 15:06:30.231775,Completed,analysis
59,69823,2020-07-06T14:00Z,2020-07-06T14:30Z,2020-07-09 15:36:30.485937,Completed,analysis
60,69823,2020-07-06T14:00Z,2020-07-06T14:30Z,2020-07-09 16:06:30.778226,Completed,analysis
61,69823,2020-07-06T14:00Z,2020-07-06T14:30Z,2020-07-09 16:36:31.035368,Completed,analysis
62,69823,2020-07-06T14:00Z,2020-07-06T14:30Z,2020-07-09 17:06:31.277471,Completed,analysis
63,69823,2020-07-06T14:00Z,2020-07-06T14:30Z,2020-07-09 17:36:31.921573,Completed,analysis
64,69823,2020-07-06T14:00Z,2020-07-06T14:30Z,2020-07-09 18:06:32.295989,Completed,analysis
65,69823,2020-07-06T14:00Z,2020-07-06T14:30Z,2020-07-09 18:36:32.548026,Completed,analysis
66,69823,2020-07-06T14:00Z,2020-07-06T14:30Z,2020-07-09 19:06:32.764848,Completed,analysis
67,69823,2020-07-06T14:00Z,2020-07-06T14:30Z,2020-07-09 19:36:33.011249,Completed,analysis
68,69823,2020-07-06T14:00Z,2020-07-06T14:30Z,2020-07-09 20:06:33.248573,Completed,analysis
69,69823,2020-07-06T14:00Z,2020-07-06T14:30Z,2020-07-09 20:36:33.486009,Completed,analysis
70,69823,2020-07-06T14:00Z,2020-07-06T14:30Z,2020-07-09 21:06:33.732780,Completed,analysis
71,69823,2020-07-06T14:00Z,2020-07-06T14:30Z,2020-07-09 21:36:33.969380,Completed,analysis
72,69823,2020-07-06T14:00Z,2020-07-06T14:30Z,2020-07-09 22:06:34.213879,Completed,analysis
73,69823,2020-07-06T14:00Z,2020-07-06T14:30Z,2020-07-09 22:36:34.467744,Completed,analysis
74,69823,2020-07-06T14:00Z,2020-07-06T14:30Z,2020-07-09 23:06:35.031274,Completed,analysis
75,69823,2020-07-06T14:00Z,2020-07-06T14:30Z,2020-07-09 23:36:35.259361,Completed,analysis
76,69823,2020-07-06T14:00Z,2020-07-06T14:30Z,2020-07-10 00:06:35.607448,Completed,analysis
77,69823,2020-07-06T14:00Z,2020-07-06T14:30Z,2020-07-10 00:36:35.838052,Completed,analysis
78,69823,2020-07-06T14:00Z,2020-07-06T14:30Z,2020-07-10 01:06:36.093803,Completed,analysis
79,69823,2020-07-06T14:00Z,2020-07-06T14:30Z,2020-07-10 01:36:36.332565,Completed,analysis
80,69823,2020-07-06T14:00Z,2020-07-06T14:30Z,2020-07-10 02:06:36.612418,Completed,analysis
81,69823,2020-07-06T14:00Z,2020-07-06T14:30Z,2020-07-10 02:36:36.841810,Completed,analysis
82,69823,2020-07-06T14:00Z,2020-07-06T14:30Z,2020-07-10 03:06:37.080598,Completed,analysis
83,69823,2020-07-06T14:00Z,2020-07-06T14:30Z,2020-07-10 03:36:37.318878,Completed,analysis
84,69823,2020-07-06T14:00Z,2020-07-06T14:30Z,2020-07-10 04:06:37.554916,Completed,analysis
85,69823,2020-07-06T14:00Z,2020-07-06T14:30Z,2020-07-10 04:36:38.236523,Completed,analysis
86,69823,2020-07-06T14:00Z,2020-07-06T14:30Z,2020-07-10 05:06:38.478632,Completed,analysis
87,69823,2020-07-06T14:00Z,2020-07-06T14:30Z,2020-07-10 05:36:38.729695,Completed,analysis
88,69823,2020-07-06T14:00Z,2020-07-06T14:30Z,2020-07-10 05:51:07.818627,Completed,analysis
89,69823,2020-07-06T14:00:00.001Z,2020-07-06T14:30:00.001Z,2020-07-10 06:17:06.647358,Completed,analysis
90,69823,2020-07-06T14:00:00.001Z,2020-07-06T14:30:00.001Z,2020-07-10 06:47:07.397487,Completed,analysis
91,69823,2020-07-06T14:00:00.001Z,2020-07-06T14:30:00.001Z,2020-07-10 07:17:07.873620,Completed,analysis
